,recipe_name,default_qty,default_uom,ingredient_name
2,Terrific Turkey Chili,1.0,ounce,taco seasoning
3,Terrific Turkey Chili,1.0,teaspoon,coriander
4,Terrific Turkey Chili,1.0,teaspoon,oregano
5,Terrific Turkey Chili,1.0,teaspoon,chili pepper
6,Terrific Turkey Chili,2.0,tablespoons,tomato paste
7,Terrific Turkey Chili,14.5,ounce,beef broth
8,Terrific Turkey Chili,7.0,ounce,salsa
9,Terrific Turkey Chili,14.5,ounce,crushed tomatoes
10,Terrific Turkey Chili,7.0,ounce,green chile peppers
11,Terrific Turkey Chili,1.0,each,onion
12,Terrific Turkey Chili,1.0,each,bell pepper
13,Terrific Turkey Chili,3.0,each,zucchini
14,Terrific Turkey Chili,1.0,each,green onions
15,Terrific Turkey Chili,1.0,cup,sour cream
16,Terrific Turkey Chili,1.0,cup,Cheddar cheese
0,Empanadas Salteñas,6.0,tablespoons,water
1,Empanadas Salteñas,0.5,teaspoon,salt
2,Empanadas Salteñas,2.0,cups,flour
3,Empanadas Salteñas,0.25,cup,margarine
4,Empanadas Salteñas,1.0,teaspoon,vegetable oil
5,Empanadas Salteñas,2.0,each,potatoes
6,Empanadas Salteñas,0.25,cup,butter
7,Empanadas Salteñas,2.0,each,onions
8,Empanadas Salteñas,2.0,stalks,green onions
9,Empanadas Salteñas,1.5,each,bell peppers
10,Empanadas Salteñas,0.66,pound,ground beef
11,Empanadas Salteñas,1.0,teaspoon,salt
12,Empanadas Salteñas,0.5,teaspoon,cayenne pepper
13,Empanadas Salteñas,1.0,teaspoon,cumin
14,Empanadas Salteñas,1.0,teaspoon,paprika
15,Empanadas Salteñas,3.0,each,hard-boiled eggs
0,Greek Salad I,1.0,head,romaine lettuce
1,Greek Salad I,1.0,each,red onion
2,Greek Salad I,6.0,ounce,olives
3,Greek Salad I,1.0,each,bell pepper
4,Greek Salad I,1.0,each,bell pepper
5,Greek Salad I,2.0,each,tomatoes
6,Greek Salad I,1.0,each,cucumber
7,Greek Salad I,1.0,cup,feta cheese
8,Greek Salad I,6.0,tablespoons,olive oil
9,Greek Salad I,1.0,teaspoon,oregano
10,Greek Salad I,1.0,each,lemon
11,Greek Salad I,1.0,each,black pepper
0,Chef John's Sourdough Bread,100.0,grams,sourdough starter
1,Chef John's Sourdough Bread,250.0,grams,water
2,Chef John's Sourdough Bread,8.0,grams,salt
3,Chef John's Sourdough Bread,394.0,grams,flour
4,Chef John's Sourdough Bread,1.0,each,flour
5,Chef John's Sourdough Bread,10.0,inch,basket
0,A Very Popular BBQ Sauce,1.5,cups,brown sugar
1,A Very Popular BBQ Sauce,1.5,cups,ketchup
2,A Very Popular BBQ Sauce,0.5,cup,red wine
3,A Very Popular BBQ Sauce,0.5,cup,water
4,A Very Popular BBQ Sauce,1.0,tablespoon,Worcestershire sauce
5,A Very Popular BBQ Sauce,2.5,tablespoons,mustard
6,A Very Popular BBQ Sauce,2.0,teaspoons,paprika
7,A Very Popular BBQ Sauce,2.0,teaspoons,salt
8,A Very Popular BBQ Sauce,1.5,teaspoons,black pepper
9,A Very Popular BBQ Sauce,2.0,dashes,hot pepper sauce
0,Apple Blackberry Pie,0.25,cup,butter
1,Apple Blackberry Pie,1.0,tablespoon,flour
2,Apple Blackberry Pie,0.25,cup,water
3,Apple Blackberry Pie,0.5,cup,white sugar
4,Apple Blackberry Pie,0.5,cup,brown sugar
5,Apple Blackberry Pie,1.0,teaspoon,lemon
6,Apple Blackberry Pie,6.0,ounce,blackberries
7,Apple Blackberry Pie,9.0,inch,crust
8,Apple Blackberry Pie,4.0,each,apple
